dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
lower-than-avg,"San Antonio, TX","San Antonio, TX",501 to 1000 employees,Company - Private,Vehicle Dealers,Retail,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
higher-than-avg,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
lower-than-avg,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2010-2014
lower-than-avg,"New York, NY","Stamford, CT",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Milpitas, CA","Milpitas, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"Milpitas, CA","Milpitas, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"San Francisco, CA","Mountain View, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2010-2014
lower-than-avg,"Hampton, VA","Fort Monroe, VA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Rate[3.5-3.9],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2010-2014
lower-than-avg,"Indianapolis, IN","Wilmington, DE",5001 to 10000 employees,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),Rate[3.0-3.4],Founded 2010-2014
higher-than-avg,"Palo Alto, CA","Palo Alto, CA",1001 to 5000 employees,Company - Private,Consumer Electronics & Appliances Stores,Retail,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2010-2014
higher-than-avg,"San Mateo, CA","San Mateo, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[2.5-2.9,Founded 2010-2014
lower-than-avg,"Austin, TX","New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Rate[2.5-2.9,Founded 2010-2014
higher-than-avg,"Chicago, IL","Singapore, Singapore",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Founded 2010-2014
higher-than-avg,"Chicago, IL","Singapore, Singapore",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,Founded 2010-2014
higher-than-avg,"Santa Monica, CA","San Mateo, CA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
lower-than-avg,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"Menlo Park, CA","Menlo Park, CA",501 to 1000 employees,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
lower-than-avg,"Philadelphia, PA","Philadelphia, PA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Diego, CA","San Diego, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Jose, CA","Irving, TX",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),Rate[4.5-5.0],Founded 2010-2014
higher-than-avg,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2010-2014
