Location = Location,Headquarters = Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Rating range,Found year range,Senior,Competitors,Compare to avg salary 62k
"Location = San Antonio, TX","Headquarters = San Antonio, TX",1 to 50 employees,Company - Private,IT Services,Information Technology,-1,-1,-1,Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Oakland, CA","Headquarters = Oakland, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = San Diego, CA","Headquarters = La Jolla, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Chicago, IL","Headquarters = Chicago, IL",51 to 200 employees,Company - Private,Lending,Finance,$50 to $100 million (USD),-1,Rate[4.5-5.0],Founded 2010-2014,IsSenior,"Avant, Enova, OppLoans",salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Northbrook, IL","Headquarters = Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = Houston, TX","Headquarters = Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = Glendale, CA","Headquarters = Glendale, CA",51 to 200 employees,Company - Private,Research & Development,Business Services,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Austin, TX",51 to 200 employees,Company - Private,Colleges & Universities,Education,-1,-1,Rate[4.5-5.0],Founded 2010-2014,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = Emeryville, CA","Headquarters = Emeryville, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,Rate[4.0-4.4],Founded 2010-2014,IsNotSenior,-1,salary_higher_than_avg
